SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex semibaccata,-34.166667,140.75,10000,1983,5
Atriplex lindleyi,-34.172872,140.742736,10000,1983,5
Atriplex suberecta,-35.641667,139.358333,1000,1978,5
Atriplex semibaccata,-35.640391,139.359434,1000,1978,5
Atriplex fissivalvis,-27.687016,140.806287,10000,1976,5
Atriplex paludosa subsp. cordata,-34.7,137.5,10000,1984,5
Atriplex paludosa subsp. cordata,-34.7,137.5,10000,1984,5
Atriplex paludosa subsp. cordata,-35,138,1000,1984,5
Atriplex pumilio,-35,137.533333,1000,1984,5
Atriplex paludosa subsp. cordata,-35,138,1000,1984,5
Atriplex pumilio,-35,137.533333,1000,1984,5
Atriplex holocarpa,-29.59675,139.750479,30000,1984,5
Atriplex vesicaria,-27.383333,135.216667,1000,1980,5
Atriplex lindleyi,-27.766667,135.583333,1000,1980,5
Atriplex paludosa subsp. cordata,-35.183333,137.35,10000,1984,5
Atriplex acutibractea subsp. karoniensis,-30.467,131.876,1000,1985,5
Atriplex vesicaria,-30.41,131.834167,150,1985,5
Atriplex vesicaria,-30.408611,131.828611,150,1985,5
Atriplex vesicaria,-30.408611,131.828611,150,1985,5
Atriplex vesicaria subsp. calcicola,-32.064,139.383,30000,1972,5
Atriplex cinerea,-35.75,137.766667,1000,1985,5
Atriplex velutinella,-26.466667,135.516667,10000,1985,5
Atriplex spongiosa,-28.0175,135.45,10000,1985,5
Atriplex limbata,-29.989832,135.884406,30000,1971,5
Atriplex incrassata,-29.989832,135.884406,10000,1971,5
Atriplex limbata,-29.989832,135.884406,30000,1971,5
Atriplex paludosa subsp. cordata,-32.282083,133.584448,10000,1971,5
Atriplex paludosa subsp. cordata,-32.2862,133.5781,10000,1971,5
Atriplex semibaccata,-35.516667,138.783333,10000,1971,5
Atriplex leptocarpa,-34.452597,140.547185,1000,1973,5
Atriplex acutibractea subsp. acutibractea,-30.582036,138.984384,10000,1976,5
Atriplex stipitata,-32.065,139.382222,30000,1971,5
Atriplex angulata,-32.064,139.383,10000,1971,5
Atriplex vesicaria,-32.066667,139.383333,30000,1971,5
Atriplex pumilio,-32.252897,136.136926,30000,1971,5
Atriplex acutibractea subsp. acutibractea,-30.813448,135.69525,10000,1971,5
Atriplex holocarpa,-29.015,134.755,15,2000,5
Atriplex crassipes,-27.234722,135.246389,15,2000,5
Atriplex suberecta,-35.028333,138.521111,150,2003,5
Atriplex velutinella,-28.848056,140.206111,150,2002,5
Atriplex velutinella,-28.885833,140.145833,150,2002,5
Atriplex prostrata,-35.020948,138.684433,1000,2005,5
Atriplex nummularia,-34.851111,138.495,15,2005,5
Atriplex nummularia subsp. nummularia,-34.851389,138.495,15,2005,5
Atriplex paludosa subsp. cordata,-34.851667,138.494722,15,2005,5
Atriplex cinerea,-34.851667,138.494722,15,2005,5
Atriplex eardleyae,-32.80677,138.684408,150,2005,5
Atriplex elachophylla,-26.283333,132.133333,10000,1963,5
Atriplex suberecta,-35.534444,138.679444,10000,1897,5
Atriplex suberecta,-35.534444,138.679444,10000,1897,5
Atriplex paludosa subsp. cordata,-34.209282,138.03443,10000,1962,5
Atriplex paludosa subsp. cordata,-34.122615,138.064985,10000,1964,5
Atriplex stipitata,-29.028889,133.284167,1000,1964,5
Atriplex stipitata,-29.028889,133.284167,1000,1964,5
Atriplex stipitata,-29.028889,133.284167,10000,1964,5
Atriplex vesicaria,-29.033056,133.299722,1000,1964,5
Atriplex kochiana,-30.20176,138.574384,10000,1898,5
Atriplex suberecta,-36.042778,139.558889,15,2010,5
Atriplex pumilio,-34.466667,137.416667,10000,1928,5
Atriplex quadrivalvata var. sessilifolia,-27.912,134.056,10000,2007,5
Atriplex semibaccata,-35.05,139.35,1000,1967,5
Atriplex stipitata,-32.065,139.382222,30000,1950,5
Atriplex angulata,-32.107317,139.383283,10000,1950,5
Atriplex holocarpa,-32.064,139.383,10000,1950,5
Atriplex vesicaria,-32.066667,139.383333,30000,1950,5
Atriplex vesicaria,-32.066667,139.383333,30000,1954,5
Atriplex semibaccata,-34.333333,138.783333,10000,1964,5
Atriplex vesicaria,-28.637075,131.861926,10000,1967,5
Atriplex vesicaria,-28.637075,131.861926,10000,1967,5
Atriplex vesicaria,-29.037,133.296,10000,1967,5
Atriplex vesicaria,-29.038333,133.295,1000,1967,5
Atriplex nummularia,-29.400658,136.560229,10000,1967,5
Atriplex eardleyae,-32.927326,138.667466,10000,1929,5
Atriplex paludosa subsp. cordata,-34.9,138.5,10000,1944,5
Atriplex prostrata,-33.933333,137.633333,10000,1966,5
Atriplex prostrata,-33.933333,137.633333,10000,1966,5
Atriplex eardleyae,-33.227608,138.326916,10000,1910,5
Atriplex holocarpa,-33.67955,138.935249,10000,1895,5
Atriplex suberecta,-35.534444,138.679444,10000,1895,5
Atriplex lobativalvis,-26.133333,139.383333,30000,1934,5
Atriplex vesicaria,-32.066667,139.383333,30000,1959,5
Atriplex lindleyi subsp. inflata,-32.065373,139.384394,10000,1959,5
Atriplex nummularia,-30.2,138.566667,30000,1898,5
Atriplex vesicaria,-30.2,138.566667,10000,1898,5
Atriplex lindleyi subsp. lindleyi,-30.182036,138.717717,10000,1898,5
Atriplex holocarpa,-30.2,138.566667,10000,1900,5
Atriplex vesicaria,-33.1,139.55,1000,1969,5
Atriplex vesicaria,-33.1,139.55,1000,1969,5
Atriplex pumilio,-34.016667,137.65,10000,1969,5
Atriplex semibaccata,-34.348611,137.709722,1000,1969,5
Atriplex vesicaria,-26.813333,139.949444,150,1995,5
Atriplex paludosa subsp. cordata,-35.157078,136.465845,10000,1969,5
Atriplex holocarpa,-34.057605,139.299972,30000,1968,5
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1928,5
Atriplex acutibractea subsp. karoniensis,-33.864281,138.00776,10000,1966,5
Atriplex semibaccata,-34,138,10000,1966,5
Atriplex eardleyae,-33.933172,137.628876,10000,1968,5
Atriplex semibaccata,-34.863056,138.595556,10000,1959,5
Atriplex spongiosa,-31.598,137.796,125000,1964,5
Atriplex eardleyae,-28.937338,134.322744,1000,1964,5
Atriplex leptocarpa,-28.937338,134.322744,1000,1964,5
Atriplex quinii,-30.123889,135.631944,1000,1964,5
Atriplex semibaccata,-34.933333,138.566667,10000,1934,5
Atriplex paludosa subsp. cordata,-35.234444,136.830833,15,2006,5
Atriplex suberecta,-35.4469,138.3075,15,2009,5
Atriplex suberecta,-34.933333,139.216667,10000,1985,5
Atriplex cinerea,-33.033333,137.583333,10000,1936,5
Atriplex cinerea,-35.030126,137.325002,30000,1962,5
Atriplex acutibractea subsp. acutibractea,-34.03,139.66,10000,1946,5
Atriplex cordifolia,-29.400914,139.985753,1000,1957,5
Atriplex crassipes,-30.788996,136.892739,30000,1938,5
Atriplex vesicaria,-30.833333,138.383333,10000,1954,5
Atriplex holocarpa,-29,137.333333,10000,1951,5
Atriplex velutinella,-31.651111,139.550833,30000,1939,5
Atriplex stipitata,-32.7025,140.185833,1000,1954,5
Atriplex stipitata,-32.7025,140.185833,1000,1954,5
Atriplex vesicaria,-34.148056,138.414167,10000,1920,5
Atriplex vesicaria,-28.937338,134.322744,30000,1953,5
Atriplex vesicaria,-32.7,140.183333,1000,1954,5
Atriplex paludosa subsp. cordata,-34.965394,138.534434,1000,1935,5
Atriplex paludosa subsp. cordata,-35.115406,137.167783,30000,1962,5
Atriplex holocarpa,-28.16,135.34,30000,1991,5
Atriplex semibaccata,-35.1,139.216667,1000,1973,5
Atriplex crassipes,-30.433333,136.833333,10000,1989,5
Atriplex eichleri,-32.066667,139.533333,10000,1990,5
Atriplex nummularia,-29.818056,139.944444,150,1990,5
Atriplex paludosa subsp. paludosa,-36.132057,139.66777,1000,1991,5
Atriplex stipitata,-35.083889,139.107778,30000,1975,5
Atriplex vesicaria,-26.805556,140.004167,150,1987,5
Atriplex pseudocampanulata,-26.7,139.5,1000,1987,5
Atriplex vesicaria,-32.3,137.966667,10000,1987,5
Atriplex nummularia,-26.466667,135.483333,1000,1987,5
Atriplex cinerea,-36.83206,139.852777,10000,1986,5
Atriplex lindleyi subsp. inflata,-32.45,140.92,10000,1930,5
Atriplex limbata,-32.066667,139.383333,10000,1923,5
Atriplex stipitata,-33.888992,139.427747,30000,1923,5
Atriplex stipitata,-33.888992,139.427747,30000,1923,5
Atriplex suberecta,-35.0425,139.354444,10000,1915,5
Atriplex semibaccata,-33.885103,139.355802,30000,1923,5
Atriplex angulata,-30.181759,138.711883,30000,1899,5
Atriplex suberecta,-32.416667,135.983333,1000,1967,5
Atriplex lindleyi subsp. conduplicata,-26.102048,134.465498,10000,1977,5
Atriplex velutinella,-27.761944,140.166389,10000,1977,5
Atriplex nummularia,-28.862778,138.455,10000,1977,5
Atriplex suberecta,-34.876111,138.49,10000,1978,5
Atriplex vesicaria,-26.166667,134.75,1000,1973,5
Atriplex quinii,-27.766667,140.65,10000,1976,5
Atriplex fissivalvis,-27.747015,140.91323,1000,1976,5
Atriplex fissivalvis,-27.733333,140.741667,1000,1976,5
Atriplex velutinella,-28.983333,140.075,1000,1976,5
Atriplex leptocarpa,-34.1,140.8,1000,1989,5
Atriplex limbata,-34.1,140.8,1000,1989,5
Atriplex acutibractea subsp. karoniensis,-34.1,140.8,1000,1989,5
Atriplex eardleyae,-33.166667,139.416667,30000,1989,5
Atriplex vesicaria,-33.333333,139.433333,1000,1989,5
Atriplex holocarpa,-31.716667,138.55,1000,1989,5
Atriplex eichleri,-31.716667,138.55,10000,1989,5
Atriplex vesicaria,-32.066667,139.883333,1000,1973,5
Atriplex vesicaria,-32.066667,139.883333,10000,1973,5
Atriplex vesicaria,-32.066667,139.883333,10000,1973,5
Atriplex lindleyi subsp. lindleyi,-32.066667,139.883333,1000,1973,5
Atriplex vesicaria,-32.065369,139.884389,30000,1973,5
Atriplex vesicaria,-32.066667,139.883333,10000,1973,5
Atriplex semibaccata,-34.933333,139.216667,1000,1985,5
Atriplex suberecta,-33.166667,138.933333,1000,1988,5
Atriplex suberecta,-34.066667,140.783333,1000,1989,5
Atriplex semibaccata,-34.05,140.833333,30000,1989,5
Atriplex leptocarpa,-34.066667,140.783333,1000,1989,5
Atriplex eardleyae,-33.166667,137.116667,30000,1979,5
Atriplex angulata,-33.672326,139.097191,10000,1989,5
Atriplex lindleyi subsp. lindleyi,-32.565384,138.134411,1000,1986,5
Atriplex nummularia,-26.466667,135.483333,10000,1987,5
Atriplex holocarpa,-26.466667,135.483333,10000,1987,5
Atriplex velutinella,-26.451489,135.394382,10000,1987,5
Atriplex spongiosa,-26.45,135.383333,10000,1987,5
Atriplex lindleyi subsp. conduplicata,-26.4151,135.45327,10000,1987,5
Atriplex intermedia,-26.451489,135.394382,10000,1987,5
Atriplex nummularia,-28.141667,140.583333,1000,1988,5
Atriplex angulata,-30.433333,136.833333,1000,1989,5
Atriplex paludosa subsp. cordata,-35.2,138.5,1000,1974,5
Atriplex velutinella,-28.796111,140.171944,30000,1924,5
Atriplex velutinella,-29.366667,139.830556,30000,1924,5
Atriplex velutinella,-27.22646,140.682118,125000,1924,5
Atriplex velutinella,-27.225,140.691667,30000,1924,5
Atriplex nummularia,-29.4,136.783333,10000,1931,5
Atriplex nummularia,-26.3,132.133333,30000,1933,5
Atriplex vesicaria,-30.555092,138.943829,10000,1937,5
Atriplex lindleyi subsp. inflata,-34.178149,140.752458,10000,1918,5
Atriplex lindleyi subsp. inflata,-32.45,140.92,10000,1930,5
Atriplex prostrata,-34.843889,137.716667,10000,1976,5
Atriplex semibaccata,-33.816667,138.35,10000,1969,5
Atriplex semibaccata,-33.816667,138.35,10000,1969,5
Atriplex acutibractea subsp. karoniensis,-33.962617,137.715264,10000,1969,5
Atriplex paludosa subsp. cordata,-34.132059,138.067763,1000,1976,5
Atriplex velutinella,-30.45,136.85,1000,1989,5
Atriplex velutinella,-29.633333,137.3,1000,1989,5
Atriplex eichleri,-29.6412,137.3047,1000,1989,5
Atriplex nummularia,-29.233333,137.9,1000,1989,5
Atriplex vesicaria,-30.45,136.833333,1000,1989,5
Atriplex holocarpa,-32.066667,139.883333,1000,1973,5
Atriplex vesicaria subsp. macrocystidia,-32.065369,139.884389,1000,1973,5
Atriplex pumilio,-34.066667,140.783333,1000,1989,5
Atriplex suberecta,-34.066667,140.783333,1000,1989,5
Atriplex limbata,-34.066667,140.783333,1000,1989,5
Atriplex lindleyi subsp. lindleyi,-34.065371,140.7844,1000,1989,5
Atriplex australasica,-35.578452,138.596386,10000,1933,5
Atriplex quinii,-29.737778,136.793056,150,1997,5
Atriplex leptocarpa,-27.2,140.183333,1000,1972,5
Atriplex velutinella,-28.366667,140.4,10000,1972,5
Atriplex nummularia,-29.266667,134.816667,1000,1980,5
Atriplex stipitata,-35.404444,138.324167,150,1996,5
Atriplex stipitata,-35.404444,138.324167,150,1996,5
Atriplex paludosa subsp. cordata,-35.37,138.376,150,1996,5
Atriplex acutibractea subsp. karoniensis,-35.2507,139.5236,150,1999,5
Atriplex prostrata,-34.642607,139.369422,150,1999,5
Atriplex spongiosa,-27.493333,138.693056,150,1997,5
Atriplex leptocarpa,-29.434722,138.248611,150,1997,5
Atriplex holocarpa,-29.826667,138.493611,150,1997,5
Atriplex holocarpa,-29.363611,135.219444,150,1997,5
Atriplex spongiosa,-29.363611,135.219444,150,1997,5
Atriplex lindleyi subsp. lindleyi,-29.478611,135.403333,150,1997,5
Atriplex angulata,-32.433333,137.516667,10000,1992,5
Atriplex limbata,-32.4,137.216667,1000,1992,5
Atriplex lindleyi subsp. lindleyi,-32.25,137.33,1000,1992,5
Atriplex lindleyi subsp. conduplicata,-32.466667,137.566667,1000,1992,5
Atriplex stipitata,-32.232056,137.184416,1000,1992,5
Atriplex elachophylla,-26.348333,130.167222,150,1993,5
Atriplex vesicaria,-26.959444,133.630833,150,1993,5
Atriplex lindleyi subsp. lindleyi,-32.766667,139.666667,1000,1995,5
Atriplex suberecta,-34.816667,139.366667,1000,1992,5
Atriplex leptocarpa,-27.016667,138.9,30000,1993,5
Atriplex limbata,-27.016667,139.233333,1000,1993,5
Atriplex pseudocampanulata,-34.516667,139.466667,30000,1993,5
Atriplex suberecta,-33.2701,138.3536,10000,1910,5
Atriplex suberecta,-34.528167,138.685816,1000,1913,5
Atriplex suberecta,-33.2701,138.3536,10000,1909,5
Atriplex paludosa subsp. cordata,-35.565405,137.567784,1000,1991,5
Atriplex vesicaria,-33.990384,139.080528,10000,1923,5
Atriplex paludosa subsp. cordata,-33.933172,137.628876,10000,1968,5
Atriplex vesicaria,-26.055556,140.072778,150,1995,5
Atriplex vesicaria,-26.082778,140.059167,150,1995,5
Atriplex lindleyi,-26.813333,139.949444,150,1995,5
Atriplex vesicaria,-26.031389,140.152222,150,1995,5
Atriplex angulata,-26.783889,140.020278,150,1995,5
Atriplex holocarpa,-26.031389,140.183611,150,1995,5
Atriplex spongiosa,-26.8075,139.9689,150,1995,5
Atriplex vesicaria,-26.962222,139.389167,150,1995,5
Atriplex vesicaria,-27.016944,139.127778,150,1995,5
Atriplex nummularia subsp. nummularia,-27.0078,139.2975,150,1995,5
Atriplex spongiosa,-26.926944,139.402778,150,1995,5
Atriplex velutinella,-26.785278,139.904167,150,1995,5
Atriplex angulata,-26.783889,140.020278,150,1995,5
Atriplex limbata,-26.813333,139.949444,150,1995,5
Atriplex spongiosa,-26.785278,139.904167,150,1995,5
Atriplex nummularia subsp. nummularia,-26.0275,140.1839,150,1995,5
Atriplex velutinella,-26.934167,139.414167,150,1995,5
Atriplex pseudocampanulata,-26.926944,139.402778,150,1995,5
Atriplex holocarpa,-26.799167,139.988056,150,1995,5
Atriplex spongiosa,-26.783889,140.020278,150,1995,5
Atriplex vesicaria,-26.042778,140.101944,150,1995,5
Atriplex vesicaria,-26.056389,140.069167,150,1995,5
Atriplex lindleyi,-26.041389,140.128333,150,1995,5
Atriplex vesicaria,-26.813333,139.949444,150,1995,5
Atriplex spongiosa,-26.783,139.835,150,1995,5
Atriplex velutinella,-29.665378,137.267725,1000,1996,5
Atriplex paludosa subsp. paludosa,-35.982058,139.534436,1000,1985,5
Atriplex eardleyae,-32.366667,135.45,1000,1992,5
Atriplex stipitata,-32.37,135.45,1000,1992,5
Atriplex lindleyi subsp. conduplicata,-31.965364,140.534381,10000,1954,5
Atriplex suberecta,-35.15,139.116667,1000,1990,5
Atriplex paludosa subsp. cordata,-32.7,137.8,1000,1990,5
Atriplex prostrata,-35.675,139.208,150,1992,5
Atriplex prostrata,-35.379167,139.125556,15,1992,5
Atriplex semibaccata,-34.821389,139.222222,15,1992,5
Atriplex acutibractea,-34.821389,139.222222,15,1992,5
Atriplex acutibractea,-35.086111,139.264167,15,1992,5
Atriplex stipitata,-34.815,139.368,15,1992,5
Atriplex semibaccata,-35.525278,139.179722,150,1992,5
Atriplex australasica,-33.5,138.6,10000,1998,4
Atriplex pumilio,-30.98206,135.734417,10000,1998,4
Atriplex quadrivalvata var. sessilifolia,-30.98206,135.734417,10000,1998,4
Atriplex crassipes,-30.964838,135.731917,30000,1998,4
Atriplex quadrivalvata var. sessilifolia,-31.123453,135.219979,10000,1998,4
Atriplex pseudocampanulata,-31.259,135.2386,30000,1998,4
Atriplex stipitata,-33.12011,138.058863,150,2000,4
Atriplex velutinella,-29.5,139.9,1000,2000,4
Atriplex prostrata,-34.95,138.53,1000,2000,4
Atriplex suberecta,-34.95,138.52,1000,2000,4
Atriplex prostrata,-34.928056,138.512778,10000,1949,4
Atriplex prostrata,-34.928448,138.599156,10000,1949,4
Atriplex paludosa subsp. cordata,-34.9,138.5,10000,1944,4
Atriplex prostrata,-34.847059,138.499711,10000,1945,4
Atriplex paludosa subsp. cordata,-34.112614,138.147484,10000,1968,4
Atriplex suberecta,-35.183333,138.5,10000,1939,4
Atriplex semibaccata,-35.183333,138.5,10000,1939,4
Atriplex stipitata,-32.12,137.15,10000,1930,4
Atriplex prostrata,-34.933333,138.533333,1000,1968,4
Atriplex semibaccata,-34.966667,138.516667,10000,1968,4
Atriplex semibaccata,-34.966667,138.533333,1000,1968,4
Atriplex vesicaria,-33.853889,139.419722,10000,1946,4
Atriplex stipitata,-34.363056,139.467778,10000,1972,4
Atriplex pumilio,-34.366667,139.466667,10000,1972,4
Atriplex lindleyi subsp. inflata,-26.316,136.046,10000,1974,4
Atriplex crassipes,-26,135,1000,1974,4
Atriplex holocarpa,-29.233333,137.9,30000,1955,4
Atriplex prostrata,-34.716667,139.15,1000,1978,4
Atriplex vesicaria,-35.018184,136.974449,125000,1935,4
Atriplex stipitata,-32.183333,140.3,10000,1978,4
Atriplex vesicaria,-32.183333,140.3,10000,1978,4
Atriplex prostrata,-35.216667,138.5,1000,1977,4
Atriplex cinerea,-34.919013,137.513332,10000,1967,4
Atriplex cinerea,-35.3,138.45,10000,1963,4
Atriplex suberecta,-34.8,138.616667,10000,1963,4
Atriplex cinerea,-35.02,138.52,10000,1936,4
Atriplex australasica,-34.933333,138.516667,10000,1913,4
Atriplex vesicaria,-29.683333,137.05,1000,1981,4
Atriplex holocarpa,-30.333333,136.966667,10000,1981,4
Atriplex holocarpa,-29.9,139.733333,1000,1973,4
Atriplex angulata,-30.270088,139.420488,10000,1973,4
Atriplex suberecta,-34.766667,138.65,10000,1973,4
Atriplex semibaccata,-34.8375,138.583056,1000,1973,4
Atriplex prostrata,-34.8262,138.5844,10000,1973,4
Atriplex paludosa subsp. cordata,-34.732058,138.534431,10000,1973,4
Atriplex paludosa subsp. cordata,-34.8262,138.5844,10000,1973,4
Atriplex vesicaria,-34.232047,139.634414,10000,1973,4
Atriplex stipitata,-34.916667,139.283333,1000,1981,4
Atriplex holocarpa,-34.9,138.6,10000,1903,4
Atriplex cinerea,-34.847059,138.499711,10000,1886,4
Atriplex pseudocampanulata,-26.266667,135.983333,10000,1974,4
Atriplex vesicaria,-30.233333,137.65,1000,1979,4
Atriplex leptocarpa,-34.7,139.566667,1000,1982,4
Atriplex lindleyi,-34.7,139.566667,1000,1982,4
Atriplex leptocarpa,-35.1,139.3,1000,1982,4
Atriplex prostrata,-36.9,139.8,1000,1983,4
Atriplex semibaccata,-36.9,139.8,1000,1983,4
Atriplex vesicaria,-34.114549,139.334139,30000,1972,4
Atriplex elachophylla,-26.933333,133.5,10000,1950,4
Atriplex elachophylla,-27.133333,134.75,10000,1950,4
Atriplex elachophylla,-26.933333,133.5,30000,1950,4
Atriplex semibaccata,-35,138.666667,10000,1943,4
Atriplex semibaccata,-34.916667,139.3,10000,1924,4
Atriplex suberecta,-34.916667,139.3,10000,1924,4
Atriplex limbata,-27.55,135.45,10000,1950,4
Atriplex semibaccata,-35.511389,138.706389,10000,1930,4
Atriplex vesicaria,-29.9,135.083333,1000,1917,4
Atriplex holocarpa,-30.916667,135.316667,10000,1917,4
Atriplex leptocarpa,-30.916667,135.316667,10000,1917,4
Atriplex quinii,-30.916667,135.316667,10000,1917,4
Atriplex paludosa subsp. cordata,-35.25,136.92,30000,1977,4
Atriplex quinii,-27.633333,134.113333,1000,1977,4
Atriplex nummularia,-26.643889,135.019722,1000,1977,4
Atriplex vesicaria,-27.165,135.323333,10000,1977,4
Atriplex vesicaria,-33.283333,139.216667,1000,1968,4
Atriplex semibaccata,-36.315383,140.784427,10000,1976,4
Atriplex vesicaria,-30.6,135.766667,30000,1938,4
Atriplex acutibractea subsp. acutibractea,-34.032046,139.667746,10000,1980,4
Atriplex prostrata,-34.25,140.466667,10000,1981,4
Atriplex semibaccata,-34.5,137.483333,10000,1969,4
Atriplex prostrata,-34.766667,137.6,10000,1969,4
Atriplex stipitata,-34,137.9,10000,1973,4
Atriplex obconica,-26.366667,135.933333,30000,1956,4
Atriplex australasica,-35.116667,139.266667,10000,1977,4
Atriplex limbata,-31.097222,138.4,1000,1955,4
Atriplex limbata,-31.097222,138.4,1000,1955,4
Atriplex limbata,-30.049536,138.677716,10000,1955,4
Atriplex limbata,-30.533333,139.3,30000,1944,4
Atriplex holocarpa,-30.20176,138.574384,10000,1955,4
Atriplex nummularia,-29.1625,136.548611,10000,1885,4
Atriplex limbata,-31.643165,136.962469,10000,1930,4
Atriplex kochiana,-30.2,138.566667,1000,1898,4
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1924,4
Atriplex paludosa subsp. cordata,-34.184836,138.147484,10000,1909,4
Atriplex paludosa subsp. cordata,-34.98206,138.517768,10000,1927,4
Atriplex australasica,-34.774837,138.496377,10000,1915,4
Atriplex prostrata,-35.083333,138.5,10000,1924,4
Atriplex prostrata,-34.774837,138.496377,10000,1944,4
Atriplex australasica,-36.525114,139.828329,30000,1949,4
Atriplex australasica,-34.915671,138.498879,10000,1912,4
Atriplex australasica,-34.774837,138.496377,10000,1915,4
Atriplex semibaccata,-32.566667,137.95,10000,1923,4
Atriplex semibaccata,-34.983333,138.533333,10000,1935,4
Atriplex semibaccata,-34.9,138.5,10000,1907,4
Atriplex semibaccata,-34.783333,138.5,10000,1915,4
Atriplex cinerea,-33.033333,137.583333,10000,1936,4
Atriplex quinii,-30.916667,135.316667,30000,1917,4
Atriplex stipitata,-31.925278,132.9025,10000,1973,4
Atriplex vesicaria,-31.374722,132.658889,30000,1973,4
Atriplex stipitata,-31.861389,133.083056,10000,1973,4
Atriplex vesicaria,-30.933333,130.916667,10000,1973,4
Atriplex prostrata,-34.833333,138.5,10000,1944,4
Atriplex spongiosa,-29.016667,134.75,10000,1984,4
Atriplex quadrivalvata var. quadrivalvata,-29.02,134.75,10000,1984,4
Atriplex vesicaria,-31.966667,135.866667,1000,1984,4
Atriplex velutinella,-31.2,136.533333,1000,1984,4
Atriplex eardleyae,-31.966667,138.1,1000,1984,4
Atriplex stipitata,-31.882043,138.667733,1000,1984,4
Atriplex eardleyae,-31.883333,138.666667,1000,1984,4
Atriplex crassipes,-27.916667,139.383333,1000,1984,4
Atriplex stipitata,-34.105556,139.425833,10000,1972,4
Atriplex vesicaria,-34.105382,139.439971,10000,1972,4
Atriplex limbata,-31.233333,139.966667,1000,1976,4
Atriplex acutibractea subsp. acutibractea,-32.73,134.85,1000,1984,4
Atriplex semibaccata,-36.9,139.8,10000,1984,4
Atriplex vesicaria,-29.919722,138.037778,30000,1885,4
Atriplex stipitata,-32.116667,137.15,10000,1930,4
Atriplex vesicaria,-32.116667,137.15,10000,1930,4
Atriplex vesicaria,-31.15427,137.707457,125000,1930,4
Atriplex stipitata,-30.8,132.1,1000,1984,4
Atriplex cinerea,-31.491667,131.266667,1000,1984,4
Atriplex cryptocarpa,-30.5,129.433333,1000,1984,4
Atriplex semibaccata,-35.05,139.116667,1000,1983,4
Atriplex cinerea,-35.8,137.766667,10000,1985,4
Atriplex prostrata,-34.666389,139.485833,1000,1985,4
Atriplex stipitata,-34.7,139.5,1000,1985,4
Atriplex stipitata,-34.7,139.5,10000,1985,4
Atriplex velutinella,-26.3,135.183333,1000,1985,4
Atriplex stipitata,-31.06537,139.267719,1000,1977,4
Atriplex lindleyi,-30.2,138.333333,1000,1977,4
Atriplex paludosa subsp. cordata,-35.165412,136.46779,10000,1971,4
Atriplex paludosa subsp. cordata,-35.165412,136.46779,10000,1971,4
Atriplex paludosa subsp. cordata,-35.165412,136.46779,10000,1971,4
Atriplex stipitata,-31.15,139.772778,10000,1968,4
Atriplex semibaccata,-34.64,139.613056,1000,1973,4
Atriplex leptocarpa,-34.6362,139.6219,1000,1973,4
Atriplex lindleyi,-31.148421,139.773826,10000,1968,4
Atriplex vesicaria,-31.171667,139.766667,1000,1968,4
Atriplex limbata,-31.216667,139.766667,30000,1968,4
Atriplex limbata,-31.144722,139.917778,1000,1968,4
Atriplex holocarpa,-31.116667,139.966667,10000,1968,4
Atriplex australasica,-35.578452,138.596386,10000,1963,4
Atriplex limbata,-34.640833,139.616667,1000,1973,4
Atriplex suberecta,-34.6375,139.620833,1000,1973,4
Atriplex suberecta,-34.655278,139.620833,1000,1973,4
Atriplex eardleyae,-29.9,139.733333,10000,1973,4
Atriplex eichleri,-29.911473,139.729926,30000,1973,4
Atriplex quinii,-30.786389,135.240556,10000,1971,4
Atriplex limbata,-26.994167,133.413056,150,2002,4
Atriplex holocarpa,-26.335,134.730556,150,2002,4
Atriplex lindleyi subsp. conduplicata,-26.388056,134.799722,150,2002,4
Atriplex quinii,-26.280278,134.732222,150,2002,4
Atriplex angulata,-28.778442,135.271901,10000,2002,4
Atriplex angulata,-28.6815,134.928014,150,2002,4
Atriplex angulata,-28.778442,135.271901,10000,2002,4
Atriplex cordifolia,-27.8076,135.3136,10000,2002,4
Atriplex obconica,-27.026111,135.2425,150,2002,4
Atriplex quinii,-27.94,134.74,30000,2002,4
Atriplex humifusa,-28.890112,134.899683,10000,2002,4
Atriplex prostrata,-34.836111,138.571111,150,2002,4
Atriplex semibaccata,-32.981389,138.831944,15,2000,4
Atriplex australasica,-36.301495,140.683317,150,2004,4
Atriplex paludosa subsp. cordata,-34.782059,138.534432,10000,1963,4
Atriplex vesicaria,-32.603333,137.6,10000,1963,4
Atriplex angulata,-32.607055,137.57664,10000,1963,4
Atriplex vesicaria,-32.608333,137.575556,30000,1963,4
Atriplex holocarpa,-32.607055,137.57664,30000,1963,4
Atriplex leptocarpa,-34.603447,138.56054,10000,1963,4
Atriplex suberecta,-34.976111,138.51,10000,1927,4
Atriplex suberecta,-34.928056,138.512778,10000,1921,4
Atriplex paludosa subsp. cordata,-34.782059,138.534432,1000,1963,4
Atriplex paludosa subsp. cordata,-34.782059,138.534432,1000,1963,4
Atriplex vesicaria,-32.733333,139.4,30000,1932,4
Atriplex vesicaria,-32.760931,139.30468,1000,1932,4
Atriplex vesicaria,-32.494167,140.227222,30000,1932,4
Atriplex suberecta,-32.960556,138.95,10000,1932,4
Atriplex vesicaria,-32.540833,140.1725,10000,1932,4
