SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex nummularia subsp. nummularia,-28.044167,140.576944,15,2006,1
Atriplex suberecta,-34.877222,138.539444,10000,1967,1
Atriplex paludosa subsp. cordata,-34.6873,138.6236,10000,1966,1
Atriplex paludosa subsp. cordata,-35.05,137.73,10000,1966,1
Atriplex paludosa subsp. cordata,-35.055401,137.744443,10000,1966,1
Atriplex semibaccata,-35.044444,137.730833,10000,1966,1
Atriplex semibaccata,-34.688611,138.6225,10000,1966,1
Atriplex paludosa subsp. cordata,-33.932061,137.634431,10000,1967,1
Atriplex leptocarpa,-35.1,139.9,10000,1937,1
Atriplex leptocarpa,-35.1,139.9,10000,1937,1
Atriplex cinerea,-34.837893,138.484711,10000,1918,1
Atriplex cinerea,-34.837893,138.484711,10000,1918,1
Atriplex vesicaria,-33.655833,139.054444,30000,1895,1
Atriplex eardleyae,-33.679548,139.096914,10000,1895,1
Atriplex vesicaria,-33.655833,139.054444,30000,1895,1
Atriplex paludosa subsp. cordata,-35.682072,137.567786,1000,1962,1
Atriplex paludosa subsp. paludosa,-35.245396,138.451383,10000,1958,1
Atriplex acutibractea subsp. karoniensis,-34.909837,138.612766,1000,1969,1
Atriplex pumilio,-34.099722,136.245278,1000,1969,1
Atriplex eardleyae,-34.244,140.673,30000,1970,1
Atriplex stipitata,-34.043333,140.710833,30000,1970,1
Atriplex vesicaria,-31.433333,131.2,10000,1971,1
Atriplex vesicaria,-31.415833,131.525833,1000,1971,1
Atriplex stipitata,-31.415833,131.525833,1000,1971,1
Atriplex velutinella,-31.097868,139.565494,30000,2006,1
Atriplex australasica,-35.560674,138.61444,10000,1933,1
Atriplex lobativalvis,-27.133333,135.55,10000,1927,1
Atriplex paludosa subsp. paludosa,-34.847059,138.499711,10000,1945,1
Atriplex stipitata,-33.865556,138.006667,10000,1967,1
Atriplex acutibractea subsp. karoniensis,-33.599002,137.935535,10000,1967,1
Atriplex acutibractea subsp. acutibractea,-33.87206,137.770263,10000,1967,1
Atriplex acutibractea subsp. acutibractea,-33.599002,137.935535,10000,1967,1
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1967,1
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1967,1
Atriplex leptocarpa,-34.184836,138.147484,10000,1967,1
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1967,1
